Name,Priority,Stage,BD Contact,Sub-Category,Logo,Tagline,Description,Link to Project,Link to Twitter,Link to Discord,Logo Name,Available on Optimism Website?,Existing Submission that works or avail on the Dapp's Website?,"Require remediation?
(Resize or ask partner)",Requires square crop,Category,"Legal Comments
(Approved, Not Approved)",Notes (if not approved),"Compliance Comments
(Approved, Not Approved)",Compliance (if not approved)
Transak,1,Ready for Mainnet,Daryl Xu,Onramp,"https://drive.google.com/open?id=1bjSWinzYTgCpEkHQ3oU7UfvJaGNgkNFK, https://drive.google.com/open?id=1BI6YcLfgg2tPM18ygrCFUST-v4tO8c5o",Making web3 applications accessible,"Transak is a global web3 payment and onboarding infrastructure provider, facilitating seamless transitions between traditional finance and crypto assets.

Web3 platforms using Transak can embed the best way to onboard users by enabling them to buy or sell crypto assets from 150+ countries, as Transak abstracts away the complexity of user KYC, risk monitoring, compliance, payment methods and customer support.

Transak’s product suite includes robust fiat-to-crypto services (On/Off-Ramps), a fiat-to-smart-contract solution (Transak One), and a fiat-to-NFT checkout solution.

As a regulated, non-custodial payments layer, Transak supports onboarding to 160+ crypto assets across 75+ blockchains. Trusted by over 350+ applications, including MetaMask and Coinbase Wallet, Transak is making web3 applications more accessible.

For more information, visit transak.com or follow us on twitter.com/transak",https://transak.com/,https://twitter.com/Transak,,Transak,,https://drive.google.com/file/d/1bzPTEgljWgLiY04qXgQvoyDMtIaY9R3S/view?usp=sharing,Requires resize from partner,Yes,Onramp,,,,
Truflation,2,Deployment in Progress,Armand Khatri,DeFi,https://drive.google.com/open?id=15Jpqtmx7NVluwPC7Um1Fgdx5FcWiwsbi,"onchain, unbiased, economic data oracle","Truflation is revolutionizing financial insights with real-time, unbiased economic data through a decentralized onchain oracle",https://truflation.com/,https://twitter.com/truflation,,Truflation,,https://drive.google.com/file/d/1oP0bkfOZRfP5rHZYi3hZd5yDUQLv3IYh/view?usp=drive_link,Yes,,DeFi,,,,
WalletConnect,2,Ready for Mainnet,Daryl Xu,Infrastructure Other,https://drive.google.com/open?id=14LosXoh2kOMosZuuJx58b3jEfES7W8iQ,The web3 communications protocol,"WalletConnect was founded with the mission to connect wallets and dapps, and the scope of our ambition has erupted along with the ecosystem. Today, WalletConnect is the communications protocol connecting web3, as we focus on assembling a messaging layer with our SDKs that enable authentication, push notifications, and wallet messaging. Our infrastructure and tools help developers build apps and expand experiences for the millions - and soon, billions - of users exploring the fast-growing world of web3.",https://www.walletconnect.com,https://twitter.com/WalletConnect,,WalletConnect,,https://drive.google.com/file/d/1C2nwY2rMZsCSALVH_src8oIjceCBjzZj/view?usp=sharing,,Yes,Infrastructure,,,,
Words3,2,Ready for Mainnet,Daryl Xu,,https://drive.google.com/open?id=1RPLLkXf6lZ50y1W2BUrrbEz0tvhUfS7q,Web3's Word Game,Compete for ETH in a new crossword-style game... where every move is onchain!,https://words3.xyz,https://twitter.com/0xsmallbrain,https://discord.gg/q2zqXbt5kd,Words3,,https://drive.google.com/file/d/1RPLLkXf6lZ50y1W2BUrrbEz0tvhUfS7q/view?usp=sharing,,Yes,Gaming,,,,
XDAO,3,Deployment in Progress,Saemi Kim,DAO,https://drive.google.com/open?id=15QmKeQENp9r5Kkh66MCb4UuclqfnkZ4l,A smart DAO tool for crypto entrepreneurs,XDAO is a versatile tool that empowers individuals and teams to effortlessly create a DAO.,https://xdao.app,https://twitter.com/xdaoapp,https://discord.gg/xdaoapp,XDAO,,https://drive.google.com/file/d/15QmKeQENp9r5Kkh66MCb4UuclqfnkZ4l/view?usp=sharing,,Yes,DAO,,,,
Yield Guild Games,1,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1_QjJoYYhEpBs9aCDYiRffdLetGkCLvvx,"Make friends, discover games, and level up.","Yield Guild Games (YGG) is the world’s first and biggest web3 gaming guild where players can enrich themselves as they find their community, discover games and level up together.",https://yieldguild.io,https://twitter.com/YieldGuild,https://discord.com/invite/ygg,Yield_Guild_Games,,https://drive.google.com/file/d/1_QjJoYYhEpBs9aCDYiRffdLetGkCLvvx/view?usp=sharing,,,Gaming,,,,
Zapper,2,Deployment in Progress,Saemi Kim,Infrastructure - Analytics,"https://drive.google.com/open?id=1VDW-VE7mmZg-siw9v185FoQ0IiVauPqQ, https://drive.google.com/open?id=1nHi_OniNWO4pZ-RAuhnC1uJWvGAgkR7A",Track your DeFi and NFT portfolio and discover new onchain opportunities.,"Zapper is a social web3 explorer which allows users to follow the blockchain journey of other people in NFTs, DeFi and DAOs. Our mission to make the blockchain readable and accessible to everyone.",https://zapper.xyz/,https://twitter.com/zapper_fi,https://discord.gg/XSPSNqxBRX,Zapper,,https://drive.google.com/file/d/1nHi_OniNWO4pZ-RAuhnC1uJWvGAgkR7A/view?usp=sharing,,,Infrastructure,,,,
Zellic,3,Deployment in Progress,Saemi Kim,Infrastructure - Security,https://drive.google.com/open?id=1R-P1An_muNiqNah8ams6LY04PO57gWWu,"Real audits, not rubber stamps.","Zellic is a blockchain security firm solving the most critical software assurance problems. Our audits prevent business-ending hacks. We have identified and eliminated critical vulnerabilities in top projects, including Sui and Aptos Core, Solana SPL, and LayerZero that endangered billions of dollars. Before Zellic, we founded the #1 CTF (competitive hacking) team in the world.",https://zellic.io/,https://twitter.com/zellic_io,,Zellic,,https://drive.google.com/file/d/1R-P1An_muNiqNah8ams6LY04PO57gWWu/view?usp=sharing,,,Infrastructure,,,,
Ankr,1,,,DeFi - Swap,,"Liquid, secure, and easy to integrate.","Build on Web3 with a fast, reliable and distributed network of blockchain nodes",https://www.ankr.com/,https://twitter.com/ankr?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,,Ankr,,https://drive.google.com/file/d/1p1DErskRPDZgE32vn3ZVBTpBMxP9YIs2/view?usp=sharing,,,DeFi,,,,
Chainlink,1,Ready for Mainnet,Armand Khatri,Infrastructure - Oracle,https://chain.link/brand-assets,Connecting the world to blockchains,"Chainlink is the industry-standard Web3 services platform connecting the people, businesses, and data of today with the Web3 world of tomorrow.",https://chain.link/,https://twitter.com/chainlink,https://discord.com/invite/chainlink,Chainlink,,https://drive.google.com/file/d/1ZYNbpKG7tAzDdE-wfdNrEt68Ml3sxnst/view?usp=drive_link,,,Infrastructure,,,,
DODO,2,Ready for Mainnet,Armand Khatri,DeFi - Swap,https://drive.google.com/open?id=1_XNuXu_ngPzx2DfHJLY0CPl7083ryFWq,Your onchain Liquidity Hub,"DODO is a decentralized trading platform that uses the innovative Proactive Market Maker (PMM) algorithm to provide efficient onchain liquidity for Web3 assets, making it easy for everyone to issue and trade these assets.",https://dodoex.io/en,https://twitter.com/BreederDodo,https://discord.com/invite/tyKReUK,Dodo,,https://drive.google.com/file/d/1_XNuXu_ngPzx2DfHJLY0CPl7083ryFWq/view?usp=drive_link,,,DeFi,,,,
ETHLas,2,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1IboOKRMqIuR3CG3Ywvxk2xbGPMLLLZqJ,Engineering the Future of Gaming,"Ethlas engineers the future of gaming. The company builds games and infrastructure tools, unlocking the next level of Web3 experiences. They make Web3 more accessible and safe for both users and companies.

Ethlas aspires to be the Epic Valve of Web3 – great companies who have built lasting impact both through the game titles they create, but also through the gaming infrastructure that they provide to other game companies.",https://ethlas.com/,https://twitter.com/Ethlas_Official,https://discord.com/invite/ethlas,Ethlas,,https://drive.google.com/file/d/1IboOKRMqIuR3CG3Ywvxk2xbGPMLLLZqJ/view?usp=drive_link,,,Gaming,,,,
Manifold,2,,,NFT,https://drive.google.com/drive/folders/1uoIgcwQLTfwVMYpm6lLyx3sPISqTlj-e?usp=drive_link,Build your own personalized web3 creative platform and sell digital goods(NFTs),Manifold Studio allows you to build your own personalized web3 creative platform and sell digital goods(NFTs). The tools allow for the highest level of provenance and complete control of your work.,https://studio.manifold.xyz/,https://twitter.com/manifoldxyz,https://discord.com/invite/y7eyzgwEdJ,Manifold,,https://drive.google.com/file/d/1tncBvKIWczZBT5KRmxDO0YY0F06CsIb0/view?usp=sharing,,,NFT,,,,
OpenSea,2,,,NFT,https://drive.google.com/file/d/1SdBHlD2N9kDDha3ZE8MOjGwe9Jn5nzZX/view?usp=drive_link,"A peer-to-peer marketplace for NFTs, rare digital items, and crypto collectibles.","OpenSea is a peer-to-peer marketplace for NFTs, rare digital items, and crypto collectibles. Buy, sell, auction, and discover rare digital art, blockchain game items, and more.",https://opensea.io/,https://twitter.com/opensea,https://discord.com/invite/opensea ,Opensea,,https://drive.google.com/file/d/1X6mWkLeok2Ui0FPOPEFFEYCpUJQOYI-s/view?usp=drive_link,,Yes,NFT,,,,
Monkeyleague,2,,,Gaming,,"Strategy-based sport game: build you team, compete against players earn MonkeyBucks $MBS","MonkeyLeague is a mobile soccer game that requires the strategic thinking of a general manager, a coach's tactical game plan, and a soccer player's skills.",,,,Monkeyleague,,https://drive.google.com/file/d/16ZvjMr_seQyMA4hVveuVWfx7h3n97Y7V/view?usp=drive_link,,,Gaming,,,,
Uniswap,2,,,DeFi,https://drive.google.com/drive/folders/1xVOy1-vra82HEBIY8lR5HnoaSCu-t7mB,Uniswap is the largest is the largest marketplace for onchain digital assets,"The Uniswap Protocol is the largest decentralized exchange with over $1.6T in trading volume. Uniswap Labs builds products that let you buy, sell, and use your self custodied digital assets in a safe, simple, and secure way.",http://uniswap.com/,https://twitter.com/Uniswap,https://discord.com/invite/FCfyBSbCU5,Uniswap,,https://drive.google.com/file/d/1uLRLqfwxoCY_5Ldc8HpA1U2IOnjavcJR/view?usp=drive_link,,,DeFi,,,,
Unlock Protocol,2,Ready for Mainnet,Viktoriya Hying,NFT - Marketplace,https://drive.google.com/open?id=1wXkHpEsNnmFKwaDvshx2oi4Z399NfNN5,Smart contracts built specifically for memberships and subscriptions,"Unlock is an open-source, collectively owned, community-governed, peer-to-peer system that creates time-based memberships",https://unlock-protocol.com/,https://twitter.com/UnlockProtocol,https://discord.gg/VnZQUCs4,Unlock Protocol,,https://drive.google.com/file/d/1wXkHpEsNnmFKwaDvshx2oi4Z399NfNN5/view?usp=drive_link,,Yes,NFT,,,,
AppliedPrimate,2,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1-di6fZvUL7HFX2YKL754-KgvQHiO-6T1,For All Apekind!,"AppliedPrimate Megaforce Sentinel Collectible Card Game is an onchain PVP game featuring AppliedPrimate Sentinel NFTs that was designed under advisement from Richard Garfield, creator of MAGIC: THE GATHERING.",www.appliedprimate.com,https://twitter.com/AppliedPrimate?s=20,https://discord.gg/appliedprimate,AppliedPrimate,,https://drive.google.com/file/d/1hBsLh_z_lHRKENcJ6nakQccOu-9qcCp9/view?usp=drive_link,,,Gaming,,,,
DIA,3,Ready for Mainnet,Armand Khatri,Infrastructure - Oracle,https://drive.google.com/open?id=1do0AcQxUPNXs6Gm1mkjbJuuZjL6hsIET,Fully Customizable Cross-Chan Oracles,"DIA redefines oracles on 30+ L1/L2s: Fully customizable, unmet asset coverage 100% transparent. Enabling new primitives for DeFi, NFTfi, and GameFi.

DIA's data feeds are fully customized with regard to the mix of sources and methodologies, resulting in tailor-made, high resilience feeds and thereby setting a new paradigm for oracles.",https://www.diadata.org/,https://twitter.com/DIAdata_org,https://discord.com/invite/zFmXtPFgQj?utm_source=Website&utm_medium=side+menu,Dia,,https://drive.google.com/file/d/1do0AcQxUPNXs6Gm1mkjbJuuZjL6hsIET/view?usp=sharing,,Yes,Infrastructure,,,,
Faraway,2,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1mMZvFJusp45fJAJr7_sQykcxD9BHHWJm,Building player-driven gaming ecosystems,"Faraway is an open economy dev studio and game publisher specializing in blockchain-enabled games including Mini Royale: Nations, Serum City, and more.",https://faraway.com,https://twitter.com/farawaygg,https://discord.gg/faraway,Faraway,,https://drive.google.com/file/d/1mMZvFJusp45fJAJr7_sQykcxD9BHHWJm/view?usp=sharing,,,Gaming,,,,
Frame,3,Ready for Mainnet,Daryl Xu,Crypto Wallet,https://drive.google.com/open?id=1QBRypPOAKkFRrEuQhNEaNWyPXHKZdKRQ,Modern web3 for Desktop,"System-wide web3 wallet for macOS, Windows, and Linux. Seamlessly access your web3 accounts from any browser, command-line, or native dapp.",https://frame.sh,https://twitter.com/0xFrame,https://discord.gg/rr4Yr3JkPq,Frame,,https://drive.google.com/file/d/1QBRypPOAKkFRrEuQhNEaNWyPXHKZdKRQ/view?usp=sharing,Resize,,Wallet,,,,
Game7,2,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1IPtZVgrAG3R7x0VbX-SvghXltKZ4dM5s,A community formed to accelerate the adoption of Web3 gaming,"We are the voice at the forefront of the industry turning Web3 technology into tangible, real-world solutions for gaming. By supporting open-source software, diversity, education, and events we rally behind a core mission to solve Web3 gaming problems.",https://game7.io/,https://twitter.com/G7_DAO,discord.gg/g7dao,Game7,,https://drive.google.com/file/d/1IPtZVgrAG3R7x0VbX-SvghXltKZ4dM5s/view?usp=sharing,,,Gaming,,,,
Goldsky,3,(Closed Won) Deployed to Mainnet,Gavynn Arteaga,Infrastructure - Analytics,https://drive.google.com/open?id=1qLHUTWxck36-k7I0qrYLUXu2F-mTRuAm,"Realtime Onchain Data, Streamed Anywhere You Need It.","Web3's Realtime Data Platform.

Build powerful dApps faster with premium blockchain indexing, instant subgraphs, and custom data streaming pipelines.",https://goldsky.com/,https://twitter.com/goldskyio,,Goldsky,,https://drive.google.com/file/d/1qLHUTWxck36-k7I0qrYLUXu2F-mTRuAm/view?usp=sharing,Requires resize from partner,,Infrastructure,,,,
Landtorn,2,Deployment in Progress,Daryl Xu,GameFi,https://drive.google.com/open?id=1bRDutHm3zII3kk3cPWSMT3Xay-NGGmeH,"The BASE gaming ecosystem, building a decentralized EPIC Games.","LandTorn is a platform hosting BASE native games. Play, compete, trade and win. Initially powered by multiple games around the TORN IP and NFT system.",https://landtorn.com/lorak,https://twitter.com/Landtorn,https://discord.gg/G5sK6gTP,Lantorn,,https://drive.google.com/file/d/1bRDutHm3zII3kk3cPWSMT3Xay-NGGmeH/view,,Yes,Gaming,,,,
Maverick Protocol,2,Ready for Mainnet,Armand Khatri,DeFi - Swap,https://drive.google.com/open?id=10dH5y8E5BfeUbTUAPTFrPARtPXyRtmRH,"DeFi infrastructure provider focused on increasing industry efficiency, powered by Maverick AMM.","Maverick Protocol is eliminating inefficiency from DeFi by helping users put liquidity where it can do the most work. Backed by Founders Fund, Pantera Capital, Coinbase Ventures, Circle Ventures, etc",https://app.mav.xyz/pools,https://twitter.com/mavprotocol,https://discord.gg/mavprotocol,Maverick Protocol,,https://drive.google.com/file/d/10dH5y8E5BfeUbTUAPTFrPARtPXyRtmRH/view?usp=sharing,,,DeFi,,,,
Nouns Builder,3,Ready for Mainnet,Viktoriya Hying,NFT - Creator,https://drive.google.com/open?id=16JnstiEyUR11oaxbXpP64Wa0IEMov8AG,Create Nounish DAOs.,"Governed by BuilderDAO, Nouns Builder is a tool lets you create Nounish DAOs easily. Build and empower your community with onchain governance and treasury.",https://nouns.build,https://twitter.com/nounsbuilder,https://discord.gg/C6Zmt8aakt,Nouns Builder,,https://drive.google.com/file/d/16JnstiEyUR11oaxbXpP64Wa0IEMov8AG/view,,,NFT,,,,
Onboard,1,Ready for Mainnet,Daryl Xu,Onramp,"https://drive.google.com/open?id=16Vgs33sJSr2rxRX3zIPajbzuz7ERqgmg, https://drive.google.com/open?id=1rMKRqHqKHRdtT-XTS2ZkqleHYbJ9ZRcU",Money should be borderless. It is with Onboard.,"The simplest and most secure self-custody wallet to convert digital assets to local currency in minutes and spend your crypto anytime, anywhere.",https://onboard.xyz,https://twitter.com/OnboardWallet,,Onboard,,https://drive.google.com/file/d/16Vgs33sJSr2rxRX3zIPajbzuz7ERqgmg/view?usp=sharing,,,Onramp,,,,
Photo Finish™ LIVE,2,Ready for Mainnet,Daryl Xu,GameFi,https://drive.google.com/open?id=1KKYJnMXFwc01ZQ10sMjSE01OeyHqqPD2,Virtual horse racing for real money,Fulfill your lifelong fantasy of winning the Kentucky Derby! Experience the thrill of owning a race horse without any of the hassle.,https://photofinish.live,https://twitter.com/photofinishgame,discord.gg/tVhBawVeb9,Photo_Finish,,https://drive.google.com/file/d/1KKYJnMXFwc01ZQ10sMjSE01OeyHqqPD2/view?usp=sharing,,,Gaming,,,,
Pixelmon,2,Initiated,Daryl Xu,GameFi,https://drive.google.com/open?id=1ru_cdjKm1dTkHP_974sWfAyxKdTLAWbv,The First Truly Decentralized IP,Building the First Truly Decentralized IP starting with a Multiplayer Open World Adventure and Monster Combat Arena.,https://www.pixelmon.ai/,https://twitter.com/Pixelmon,discord.gg/thepixelmon,Pixelmon,,https://drive.google.com/file/d/1ru_cdjKm1dTkHP_974sWfAyxKdTLAWbv/view?usp=sharing,,,Gaming,,,,
Safe Wallet,1,Ready for Mainnet,Daryl Xu,Crypto Wallet,,Safe{Wallet}: The most trusted Smart Wallet; Safe{Core}: Modular Account Abstraction stack for developers,Safe is the most trusted platform to manage digital assets on Ethereum.,https://safe.global/,https://twitter.com/safe,,Safe Wallet,,https://drive.google.com/file/d/1TTgJWmY1rJmTc1hXYEC26xxtSsk5uAdc/view?usp=sharing,,,Wallet,,,,
Stargate Finance,2,Ready for Mainnet,Armand Khatri,Bridge,https://drive.google.com/open?id=1Twi50Ct0WnfZq9T80PvG46kTlst2cNdf,Transfer native assets cross-chain,Stargate is a fully composable liquidity transport protocol that lives at the heart of Omnichain DeFi,https://stargate.finance/,https://twitter.com/StargateFinance,https://stargate.finance/discord,Stargate Finance,,https://drive.google.com/file/d/1Twi50Ct0WnfZq9T80PvG46kTlst2cNdf/view?usp=sharing,crop,,Bridge,,,,
SushiSwap,2,,,DeFi,,Sushi (sushi.com) is a leading multi-chain decentralized exchange (DEX),"Sushi is a leading multi-chain decentralized exchange (DEX) deployed across 25+ chains and featuring unique cross-chain swaps via SushiXSwap. Focusing on seamless user experiences, innovative trading, and enhanced liquidity provisions, Sushi is committed to being a community-built, open-source ecosystem of all the DeFi tools you need.",https://www.sushi.com/,https://twitter.com/SushiSwap,,Sushi,,https://drive.google.com/file/d/130H836p3Cx5Wv-pPb-O8l-Inr3gvJuWw/view?usp=drive_link,,,,,,,
TBTC,2,Deployment in Progress,Gavynn Arteaga,Bridge,"https://drive.google.com/open?id=1-kuZSCVzN1CGsd773KLSOekUaXwJDvqC, https://drive.google.com/open?id=14oPacoFEjGo6ZI8ol9ritMFZI5dlO_7f, https://drive.google.com/open?id=1_duHtfQwANEJ69rMEhnWn0muwifBpX66, https://drive.google.com/open?id=1Dd_AuoUkMQgoB5007KR-g1srSLNClay0, https://drive.google.com/open?id=1gABdGevu-2M694YH7wa9dgQnerFCINPv",Decentralized wBTC,"tBTC is a decentralized, permissionless, and scalable Bitcoin equivalent that allows users to access the Ethereum and the cross chain DeFi ecosystem. Each tBTC token is fully backed by 1 BTC held in reserve.

Threshold Network, the builders of tBTC, replaces centralized intermediaries with a randomly selected group of node operators who secure users’ deposited Bitcoin through threshold cryptography.

Visit https://threshold.network/ for more information.",https://dashboard.threshold.network/tBTC/mint,https://twitter.com/TheTNetwork,https://discord.com/invite/Threshold,TBTC,,https://drive.google.com/file/d/1-kuZSCVzN1CGsd773KLSOekUaXwJDvqC/view?usp=sharing,,Yes,Bridge,,,,
Trust Wallet,3,Initiated,Daryl Xu,Crypto Wallet,https://drive.google.com/open?id=1C4ogF0iuI38lAqCRC9v6ST09gb8gjNJ9,The most trusted & secure crypto wallet,"Trust Wallet is a multi-chain, self-custody wallet with 60M+ users. Supporting 70+ chains & 8M+ digital assets; you can manage crypto & NFTs, explore DeFi and connect to dApps safely & securely.",https://trustwallet.com/,https://twitter.com/trustwallet,,Trust Wallet,,https://drive.google.com/file/d/1C4ogF0iuI38lAqCRC9v6ST09gb8gjNJ9/view?usp=sharing,,Yes,Wallet,,,,
Prophouse,2,,,DAO,,Reward builders through fun & easy funding rounds,Prop House is public infrastructure by Nouns DAO that helps internet communities incentivize ecosystem development.,https://prop.house,https://twitter.com/nounsprophouse,,Prop House,,https://drive.google.com/file/d/1UL2WZdxIvWb7zH1O4TgVsbIxcmxhejlu/view?usp=sharing,,,DAO,,,,
Mint.fun,2,,,NFT,,Mint new NFT projects safely from one interface,"The fastest, safest, and most rewarding way to mint all the top new NFT projects.",https://mint.fun/feed/trending,https://twitter.com/mintdotfun,,mint.fun,,https://drive.google.com/file/d/1wPrklCZySTJmAG3EvjisflvYgpoHzWax/view?usp=sharing,,,NFT,,,,
Harvest Finance,2,,,DeFi,https://drive.google.com/open?id=1F6vsdLyRGTX6xqeUXtmJBy3O0qAE4BaE,Yield Farming Made Easy,"Taking advantage of the yield opportunities in DeFi can be a costly process in terms of time, risk and gas costs. Harvest Finance does the hard work of scouring the fields of DeFi for the best and safest yields, brings them to a single UX, and saves you a ton on gas fees with it's autocompounding feature. See the best yields that DeFi has to offer, set your crypto to work and let Harvest handle the rest!",https://harvest.finance,https://twitter.com/harvest_finance,https://discord.gg/xHXe3tYjPY,Harvest Finance,,https://drive.google.com/file/d/1F6vsdLyRGTX6xqeUXtmJBy3O0qAE4BaE/view?usp=sharing,,,DeFi,,,,
Zora,2,,,NFT,,"Buy, sell, and curate NFTs","ZORA is a universal media registry protocol. It’s a way for creators to publish creative media, earn money on their work, and have others build and share what they create.",https://zora.co/,https://twitter.com/ourZORA,https://discord.com/invite/zora-753127928434393128,Zora,,https://drive.google.com/file/d/1wSwl0H0hVEtzIONjm6GblbrautzwcryP/view?usp=sharing,,,NFT,,,,
FWB,1,,,Social,,,"Friends With Benefits (FWB) is a community of builders, creatives, and investors who believe in the power of social tokens and the communities they create.",,,,FWB,,https://drive.google.com/file/d/1XILm2lSTQ20bjKEeih_0ItkABTCAMkSH/view?usp=drive_link,,,Social,,,,
Indelible Labs,1,,,NFT,,,,,,,Indelible Labs,,https://drive.google.com/file/d/1CCXih0HVsiwVu5sDi5tM938eme9YSpD0/view?usp=sharing,,,NFT,,,,
OAK,1,,,Social,,,,,,,OAK,,,,,Social,,,,
fini,1,,,Social,,,,,,,fini,,,,,Social,,,,
Blackbird,1,,,Social,,,,,,,Blackbird,,,,,Social,,,,
Sablier,2,,,DeFi,https://drive.google.com/file/d/1pzUfkygtWAF4WlTn8RyGeUJx-iJqRpY9/view?usp=sharing,Stream tokens by the second,"Sablier is a token streaming protocol that enables by-the-second payments in web3. DAOs and businesses use it for vesting, payroll, airdrops, and more.

The Sablier protocol features a streaming model Lockup, in which the sender locks up a specified amount of ERC-20 tokens in a contract. The contract progressively allocates the funds to the designated recipient, who can access them as they become available over time. The streaming rate is influenced by various factors, including the start and end times, as well as the total amount of assets locked up.",https://sablier.com,https://twitter.com/Sablier,https://discord.com/invite/bSwRCwWRsT,Sablier,,https://drive.google.com/file/d/1pzUfkygtWAF4WlTn8RyGeUJx-iJqRpY9/view?usp=sharing,,,,,,,
